Name|Genre|Type|Length
Black Clover|Action, Comedy, Fantasy|Series|Long, 1 Season (170) 
Gokushufudou|Comedy|Series|Short, 2 Seasons (5/5) 
K-On!|Comedy|Series|Short, 2 Seasons (13/26) 
Kuroko no Basket|Sports|Series|Long, 3 Seasons 1 Movie (25/25/25/1h30) 
How Not to Summon a Demon Lord|Comedy, Fantasy, Ecchi|Series|Short, 2 Seasons (12/10)
86 Eighty Six|Action, Drama, Sci-Fi|Series|Short, 2 Seasons (11/12)
Aharen-san wa Hakarenai|Comedy|Series|Short, 1 Season (12)
Akkun to Kanojo|Comedy, Romance|Series|Short, 1 Season (25)
Arifureta Shokugyou de Sekai Saikyou|Action, Adventure, Fantasy|Series|Short, 3 Seasons (13/12/Not Aired)
Asobi Asobase|Comedy|Series|Short, 2 Seasons (12/1)
Busou Shoujo Machiavellianism|Action, Comedy|Series|Short, 2 Seasons (12/1)
Charlotte|Drama|Series|Short, 1 Season (13)
Days (TV)|Sports|Series|Short, 2 Seasons (24/3)
Death Parade|Drama, Supernatural, Suspense|Series|Short, 1 Season (12)
Diamond no Ace|Sports|Series|Long, 3 Seasons (75, 51, 52)
Dororo|Action, Adventure, Supernatural|Series|Short, 1 Season (24)
Fire Force|Action, Supernatural|Series|Short, 3 Seasons (24/24/Not Aired)
Eromanga Sensei|Comedy, Drama, Romance, Ecchi|Series|Short, 1 Season (12)
Gamers!|Comedy, Romance|Series|Short, 1 Season (12)
Getsuyoubi no Tawawa|Slice of Life, Ecchi|Series|Short, 3 Seasons (12/12/1)
Golden Time|Comedy, Drama, Romance|Series|Short, 1 Season (24)
Hataraku Maou-sama!|Comedy, Fantasy, Romance, Supernatural|Series|Short, 2 Seasons (13/12)
Heike Monogatari|Drama|Series|Short, 1 Season (11)
Himouto! Umaru-chan|Comedy|Series|Short, 2 Seasons (12/12)
Hinomaruzumou|Sports|Series|Short, 1 Season (24)
Hoshizora e Kakaru Hashi|Comedy, Romance, Ecchi|Series|Short, 2 Seasons (12/1)
Inou-Battle wa Nichijou-kei no Naka de|Comedy, Supernatural|Series|Short, 1 Season (12)
